2026-04-11 17:36:03 | INFO | Starting method=coreset seed=2 device=cuda run_dir=/data1/doyoung/ADV-AL/experiments/set_ADV_main_resnet18_cifar100/cifar100_resnet18_coreset_b100_r20/seed_2 | GPU MB alloc/reserved=0.0/0.0
2026-04-11 17:36:04 | INFO | Data loaded in 0.84s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-04-11 17:36:04 | INFO | [Round 0] labeled=500 train=500 val_fixed=0 | GPU MB alloc/reserved=42.9/64.0
2026-04-11 17:36:05 | INFO | [Round 0] epoch=1/80 loss=4.7886 acc=1.60 val_acc=nan data_t=0.0435s batch_t=0.3002s epoch_t=00:01.37 lr=0.001000 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:05 | INFO | [Round 0] Epoch 1/80 time=00:01.37 avg=00:01.37 ETA=01:48.62 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:06 | INFO | [Round 0] epoch=2/80 loss=4.2429 acc=6.20 val_acc=nan data_t=0.0095s batch_t=0.0872s epoch_t=00:00.39 lr=0.000998 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:06 | INFO | [Round 0] Epoch 2/80 time=00:00.39 avg=00:00.88 ETA=01:08.71 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:06 | INFO | [Round 0] epoch=3/80 loss=3.9449 acc=9.40 val_acc=nan data_t=0.0096s batch_t=0.0835s epoch_t=00:00.37 lr=0.000997 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:06 | INFO | [Round 0] Epoch 3/80 time=00:00.37 avg=00:00.71 ETA=00:54.78 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:07 | INFO | [Round 0] epoch=4/80 loss=3.6933 acc=13.20 val_acc=nan data_t=0.0127s batch_t=0.0851s epoch_t=00:00.39 lr=0.000994 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:07 | INFO | [Round 0] Epoch 4/80 time=00:00.39 avg=00:00.63 ETA=00:47.99 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:07 | INFO | [Round 0] epoch=5/80 loss=3.4892 acc=14.20 val_acc=nan data_t=0.0102s batch_t=0.0878s epoch_t=00:00.39 lr=0.000990 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:07 | INFO | [Round 0] Epoch 5/80 time=00:00.39 avg=00:00.58 ETA=00:43.78 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:07 | INFO | [Round 0] epoch=6/80 loss=3.3214 acc=15.60 val_acc=nan data_t=0.0117s batch_t=0.0897s epoch_t=00:00.41 lr=0.000986 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:07 | INFO | [Round 0] Epoch 6/80 time=00:00.41 avg=00:00.55 ETA=00:41.00 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:08 | INFO | [Round 0] epoch=7/80 loss=3.2107 acc=15.00 val_acc=nan data_t=0.0108s batch_t=0.0904s epoch_t=00:00.41 lr=0.000981 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:08 | INFO | [Round 0] Epoch 7/80 time=00:00.41 avg=00:00.53 ETA=00:38.89 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:08 | INFO | [Round 0] epoch=8/80 loss=3.0486 acc=19.20 val_acc=nan data_t=0.0076s batch_t=0.0936s epoch_t=00:00.41 lr=0.000976 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:08 | INFO | [Round 0] Epoch 8/80 time=00:00.41 avg=00:00.52 ETA=00:37.21 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:09 | INFO | [Round 0] epoch=9/80 loss=2.8518 acc=22.80 val_acc=nan data_t=0.0094s batch_t=0.0842s epoch_t=00:00.37 lr=0.000969 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:09 | INFO | [Round 0] Epoch 9/80 time=00:00.37 avg=00:00.50 ETA=00:35.57 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:09 | INFO | [Round 0] epoch=10/80 loss=2.6758 acc=28.00 val_acc=nan data_t=0.0070s batch_t=0.0894s epoch_t=00:00.39 lr=0.000962 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:09 | INFO | [Round 0] Epoch 10/80 time=00:00.39 avg=00:00.49 ETA=00:34.26 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:09 | INFO | [Round 0] epoch=11/80 loss=2.6473 acc=26.40 val_acc=nan data_t=0.0132s batch_t=0.0944s epoch_t=00:00.43 lr=0.000955 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:09 | INFO | [Round 0] Epoch 11/80 time=00:00.43 avg=00:00.48 ETA=00:33.40 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:10 | INFO | [Round 0] epoch=12/80 loss=2.5098 acc=30.20 val_acc=nan data_t=0.0131s batch_t=0.0886s epoch_t=00:00.41 lr=0.000946 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:10 | INFO | [Round 0] Epoch 12/80 time=00:00.41 avg=00:00.48 ETA=00:32.48 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:10 | INFO | [Round 0] epoch=13/80 loss=2.3516 acc=35.40 val_acc=nan data_t=0.0138s batch_t=0.0808s epoch_t=00:00.38 lr=0.000937 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:10 | INFO | [Round 0] Epoch 13/80 time=00:00.38 avg=00:00.47 ETA=00:31.50 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:11 | INFO | [Round 0] epoch=14/80 loss=2.2419 acc=38.00 val_acc=nan data_t=0.0129s batch_t=0.0903s epoch_t=00:00.41 lr=0.000927 | GPU MB alloc/reserved=190.8/996.0
2026-04-11 17:36:11 | INFO | [Round 0] Epoch 14/80 time=00:00.41 avg=00:00.47 ETA=00:30.76 | GPU MB alloc/reserved=190.8/996.0
