2026-04-07 11:20:18 | INFO | Starting method=badge seed=1 device=cuda run_dir=/data1/doyoung/ADV-AL/experiments/set_ADV_main_moreround/cifar10_small_cnn_badge_b100_r20/seed_1 | GPU MB alloc/reserved=0.0/0.0
2026-04-07 11:20:18 | INFO | Data loaded in 0.67s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-04-07 11:20:18 | INFO | [Round 0] labeled=500 train=500 val_fixed=0 | GPU MB alloc/reserved=8.9/22.0
2026-04-07 11:20:20 | INFO | [Round 0] epoch=1/80 loss=4.1511 acc=10.00 val_acc=nan data_t=0.0367s batch_t=0.2291s epoch_t=00:01.06 lr=0.001000 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] Epoch 1/80 time=00:01.06 avg=00:01.06 ETA=01:23.99 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] epoch=2/80 loss=3.5216 acc=15.80 val_acc=nan data_t=0.0076s batch_t=0.0346s epoch_t=00:00.17 lr=0.000998 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] Epoch 2/80 time=00:00.17 avg=00:00.62 ETA=00:48.05 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] epoch=3/80 loss=2.6805 acc=15.40 val_acc=nan data_t=0.0061s batch_t=0.0344s epoch_t=00:00.16 lr=0.000997 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] Epoch 3/80 time=00:00.16 avg=00:00.46 ETA=00:35.79 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] epoch=4/80 loss=2.4372 acc=14.80 val_acc=nan data_t=0.0096s batch_t=0.0342s epoch_t=00:00.18 lr=0.000994 | GPU MB alloc/reserved=52.0/394.0
2026-04-07 11:20:20 | INFO | [Round 0] Epoch 4/80 time=00:00.18 avg=00:00.39 ETA=00:29.83 | GPU MB alloc/reserved=52.0/394.0
