2026-04-11 15:48:48 | INFO | Starting method=badge seed=1 device=cuda run_dir=/data1/doyoung/ADV-AL/experiments/set_ADV_main_resnet18_cifar10/cifar10_resnet18_badge_b100_r20/seed_1 | GPU MB alloc/reserved=0.0/0.0
2026-04-11 15:48:48 | INFO | Data loaded in 0.66s (train_total=50000 al_train=50000 val_fixed=0 test=10000) | GPU: n/a
2026-04-11 15:48:49 | INFO | [Round 0] labeled=500 train=500 val_fixed=0 | GPU MB alloc/reserved=42.7/64.0
2026-04-11 15:48:50 | INFO | [Round 0] epoch=1/80 loss=2.4882 acc=14.00 val_acc=nan data_t=0.0409s batch_t=0.2183s epoch_t=00:01.04 lr=0.001000 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:50 | INFO | [Round 0] Epoch 1/80 time=00:01.04 avg=00:01.04 ETA=01:21.95 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:50 | INFO | [Round 0] epoch=2/80 loss=2.1733 acc=22.20 val_acc=nan data_t=0.0081s batch_t=0.0577s epoch_t=00:00.26 lr=0.000998 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:50 | INFO | [Round 0] Epoch 2/80 time=00:00.26 avg=00:00.65 ETA=00:50.73 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:50 | INFO | [Round 0] epoch=3/80 loss=1.9985 acc=26.60 val_acc=nan data_t=0.0107s batch_t=0.0597s epoch_t=00:00.28 lr=0.000997 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:50 | INFO | [Round 0] Epoch 3/80 time=00:00.28 avg=00:00.53 ETA=00:40.62 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] epoch=4/80 loss=1.8443 acc=31.40 val_acc=nan data_t=0.0063s batch_t=0.0576s epoch_t=00:00.26 lr=0.000994 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] Epoch 4/80 time=00:00.26 avg=00:00.46 ETA=00:34.93 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] epoch=5/80 loss=1.7600 acc=33.20 val_acc=nan data_t=0.0066s batch_t=0.0573s epoch_t=00:00.26 lr=0.000990 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] Epoch 5/80 time=00:00.26 avg=00:00.42 ETA=00:31.41 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] epoch=6/80 loss=1.6708 acc=39.20 val_acc=nan data_t=0.0126s batch_t=0.0598s epoch_t=00:00.29 lr=0.000986 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] Epoch 6/80 time=00:00.29 avg=00:00.40 ETA=00:29.40 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] epoch=7/80 loss=1.6201 acc=39.80 val_acc=nan data_t=0.0140s batch_t=0.0595s epoch_t=00:00.29 lr=0.000981 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:51 | INFO | [Round 0] Epoch 7/80 time=00:00.29 avg=00:00.38 ETA=00:27.93 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] epoch=8/80 loss=1.4842 acc=43.00 val_acc=nan data_t=0.0125s batch_t=0.0573s epoch_t=00:00.28 lr=0.000976 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] Epoch 8/80 time=00:00.28 avg=00:00.37 ETA=00:26.62 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] epoch=9/80 loss=1.4715 acc=45.40 val_acc=nan data_t=0.0122s batch_t=0.0597s epoch_t=00:00.29 lr=0.000969 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] Epoch 9/80 time=00:00.29 avg=00:00.36 ETA=00:25.60 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] epoch=10/80 loss=1.4221 acc=49.00 val_acc=nan data_t=0.0128s batch_t=0.0596s epoch_t=00:00.29 lr=0.000962 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] Epoch 10/80 time=00:00.29 avg=00:00.35 ETA=00:24.74 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] epoch=11/80 loss=1.3503 acc=50.00 val_acc=nan data_t=0.0119s batch_t=0.0532s epoch_t=00:00.26 lr=0.000955 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:52 | INFO | [Round 0] Epoch 11/80 time=00:00.26 avg=00:00.35 ETA=00:23.81 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:53 | INFO | [Round 0] epoch=12/80 loss=1.2976 acc=51.00 val_acc=nan data_t=0.0127s batch_t=0.0527s epoch_t=00:00.26 lr=0.000946 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:53 | INFO | [Round 0] Epoch 12/80 time=00:00.26 avg=00:00.34 ETA=00:22.99 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:53 | INFO | [Round 0] epoch=13/80 loss=1.2257 acc=53.60 val_acc=nan data_t=0.0126s batch_t=0.0573s epoch_t=00:00.28 lr=0.000937 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:53 | INFO | [Round 0] Epoch 13/80 time=00:00.28 avg=00:00.33 ETA=00:22.35 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:53 | INFO | [Round 0] epoch=14/80 loss=1.1718 acc=57.60 val_acc=nan data_t=0.0129s batch_t=0.0550s epoch_t=00:00.27 lr=0.000927 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:53 | INFO | [Round 0] Epoch 14/80 time=00:00.27 avg=00:00.33 ETA=00:21.73 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] epoch=15/80 loss=1.0986 acc=60.60 val_acc=nan data_t=0.0132s batch_t=0.0526s epoch_t=00:00.26 lr=0.000917 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] Epoch 15/80 time=00:00.26 avg=00:00.32 ETA=00:21.11 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] epoch=16/80 loss=1.0888 acc=58.60 val_acc=nan data_t=0.0133s batch_t=0.0578s epoch_t=00:00.28 lr=0.000905 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] Epoch 16/80 time=00:00.28 avg=00:00.32 ETA=00:20.63 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] epoch=17/80 loss=0.9756 acc=63.00 val_acc=nan data_t=0.0070s batch_t=0.0573s epoch_t=00:00.26 lr=0.000894 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] Epoch 17/80 time=00:00.26 avg=00:00.32 ETA=00:20.07 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] epoch=18/80 loss=0.9925 acc=63.20 val_acc=nan data_t=0.0075s batch_t=0.0536s epoch_t=00:00.24 lr=0.000881 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:54 | INFO | [Round 0] Epoch 18/80 time=00:00.24 avg=00:00.31 ETA=00:19.49 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:55 | INFO | [Round 0] epoch=19/80 loss=0.8871 acc=67.40 val_acc=nan data_t=0.0069s batch_t=0.0659s epoch_t=00:00.29 lr=0.000868 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:55 | INFO | [Round 0] Epoch 19/80 time=00:00.29 avg=00:00.31 ETA=00:19.10 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:55 | INFO | [Round 0] epoch=20/80 loss=0.8836 acc=69.20 val_acc=nan data_t=0.0110s batch_t=0.0599s epoch_t=00:00.28 lr=0.000855 | GPU MB alloc/reserved=190.1/996.0
2026-04-11 15:48:55 | INFO | [Round 0] Epoch 20/80 time=00:00.28 avg=00:00.31 ETA=00:18.70 | GPU MB alloc/reserved=190.1/996.0
